IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
129.146.46.164,443,true,LAX,North America,Los Angeles,274 ms,4936 kB/s
193.123.57.144,443,true,FRA,Europe,Frankfurt,240 ms,4377 kB/s
143.47.243.144,8443,true,LHR,Europe,London,239 ms,3029 kB/s
129.151.198.3,2053,true,ARN,Europe,Stockholm,259 ms,2876 kB/s
89.168.68.57,2053,true,FRA,Europe,Frankfurt,301 ms,2530 kB/s
40.233.70.7,8443,true,YYZ,North America,Toronto,246 ms,2472 kB/s
130.61.23.77,443,true,FRA,Europe,Frankfurt,296 ms,2204 kB/s
146.235.59.153,8443,true,GRU,South America,São Paulo,377 ms,2041 kB/s
64.110.104.30,443,true,KIX,Asia Pacific,Osaka,190 ms,1120 kB/s
129.154.46.115,443,true,HYD,Asia Pacific,Hyderabad,360 ms,1014 kB/s
168.138.162.187,443,true,SIN,Asia Pacific,Singapore,271 ms,988 kB/s
129.146.254.39,443,true,LAX,North America,Los Angeles,254 ms,985 kB/s
89.168.43.31,2053,true,CDG,Europe,Paris,266 ms,787 kB/s
164.152.26.70,2052,true,ORD,North America,Chicago,242 ms,681 kB/s
132.226.31.178,443,true,LAX,North America,Los Angeles,246 ms,492 kB/s
89.168.83.143,8443,true,FRA,Europe,Frankfurt,297 ms,473 kB/s
164.152.26.70,2086,true,ORD,North America,Chicago,252 ms,464 kB/s
150.230.221.148,443,true,NRT,Asia Pacific,Tokyo,134 ms,441 kB/s
141.148.242.113,8443,true,AMS,Europe,Amsterdam,310 ms,429 kB/s
141.147.61.116,2053,true,FRA,Europe,Frankfurt,349 ms,419 kB/s
217.142.243.226,443,true,KIX,Asia Pacific,Osaka,194 ms,256 kB/s
150.230.42.80,443,true,SJC,North America,San Jose,167 ms,214 kB/s
129.151.198.3,8443,true,ARN,Europe,Stockholm,269 ms,163 kB/s
150.230.20.156,2053,true,AMS,Europe,Amsterdam,283 ms,156 kB/s
146.235.59.153,2053,true,GRU,South America,São Paulo,358 ms,150 kB/s
140.238.86.228,443,true,LHR,Europe,London,233 ms,150 kB/s
158.178.153.80,2096,true,AMS,Europe,Amsterdam,255 ms,96 kB/s
158.101.199.249,8443,true,AMS,Europe,Amsterdam,291 ms,89 kB/s
141.147.61.116,8443,true,FRA,Europe,Frankfurt,351 ms,86 kB/s
141.144.198.113,8443,true,AMS,Europe,Amsterdam,283 ms,73 kB/s
84.235.169.234,443,true,AMS,Europe,Amsterdam,284 ms,67 kB/s
143.47.243.144,2053,true,LHR,Europe,London,257 ms,64 kB/s
140.238.158.238,443,true,YYZ,North America,Toronto,240 ms,43 kB/s
150.230.34.116,443,true,SJC,North America,San Jose,177 ms,39 kB/s
150.230.20.156,8443,true,AMS,Europe,Amsterdam,293 ms,38 kB/s
141.144.198.113,2053,true,AMS,Europe,Amsterdam,294 ms,37 kB/s
152.67.231.219,443,true,SJC,North America,San Jose,200 ms,36 kB/s
140.238.158.238,8080,true,YYZ,North America,Toronto,234 ms,32 kB/s
129.151.148.35,443,true,DXB,Middle East,Dubai,211 ms,24 kB/s
158.179.207.182,2053,true,ARN,Europe,Stockholm,269 ms,21 kB/s
132.226.163.224,8443,true,GRU,South America,São Paulo,380 ms,20 kB/s
193.123.81.105,443,true,MRS,Europe,Marseille,184 ms,7 kB/s
192.18.159.129,443,true,YYZ,North America,Toronto,245 ms,0 kB/s
168.138.215.251,443,true,NRT,Asia Pacific,Tokyo,119 ms,0 kB/s
152.70.248.96,443,true,ICN,Asia Pacific,Seoul,76 ms,0 kB/s
158.179.207.182,8443,true,ARN,Europe,Stockholm,261 ms,0 kB/s
64.181.240.173,443,true,SJC,North America,San Jose,198 ms,0 kB/s
144.22.252.124,443,true,GRU,South America,São Paulo,364 ms,0 kB/s
138.2.122.191,443,true,ICN,Asia Pacific,Seoul,151 ms,0 kB/s
132.145.127.203,8443,true,NRT,Asia Pacific,Tokyo,201 ms,0 kB/s
132.145.127.203,2053,true,NRT,Asia Pacific,Tokyo,203 ms,0 kB/s
193.122.107.147,443,true,ICN,Asia Pacific,Seoul,76 ms,0 kB/s
